,batteryPercentageState,powerConsumption,powerFeedIn,powerProduction,powerPurchased,powerSelfConsumption,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,visibility,windBearing,windSpeed
2017-05-31 10:00:00,,,,,,,73.27,0.0,64.96,0.77,clear-night,0.0,0.0,,1018.55,Clear,72.7,10.0,74.0,8.04
2017-05-31 11:00:00,,,,,,,73.05,0.06,64.79,0.77,clear-night,0.0,0.0,,1018.11,Clear,72.49,10.0,58.0,7.8
2017-05-31 12:00:00,,,,,,,72.91,0.04,65.24,0.79,clear-night,0.0,0.0,,1017.28,Clear,72.29,10.0,59.0,5.86
2017-05-31 13:00:00,,,,,,,72.43,0.04,64.04,0.76,clear-night,0.0,0.0,,1016.96,Clear,71.95,10.0,52.0,5.04
2017-05-31 14:00:00,,,,,,,71.95,0.0,63.98,0.77,clear-night,0.0,0.0,,1017.03,Clear,71.47,10.0,46.0,5.93
2017-05-31 15:00:00,,,,,,,72.27,0.0,64.3,0.77,clear-night,0.0011,0.11,rain,1017.25,Clear,71.75,9.47,65.0,5.52
2017-05-31 16:00:00,,,,,,,72.17,0.14,64.02,0.77,clear-day,0.0021,0.11,rain,1017.73,Clear,71.69,10.0,44.0,8.26
2017-05-31 17:00:00,,,,,,,74.29,0.19,65.27,0.75,clear-day,0.0,0.0,,1018.44,Clear,73.69,9.79,65.0,6.34
2017-05-31 18:00:00,,,,,,,76.39,0.26,65.43,0.7,partly-cloudy-day,0.0,0.0,,1018.76,Partly Cloudy,75.81,10.0,68.0,7.83
2017-05-31 19:00:00,,,,,,,79.08,0.23,63.48,0.6,clear-day,0.0,0.0,,1018.93,Clear,78.7,10.0,66.0,8.44
2017-05-31 20:00:00,,,,,,,81.28,0.23,64.09,0.59,clear-day,0.0,0.0,,1018.79,Clear,79.6,9.83,50.0,8.93
2017-05-31 21:00:00,,,,,,,79.39,0.27,64.74,0.62,partly-cloudy-day,0.0011,0.11,rain,1018.69,Partly Cloudy,78.89,9.48,53.0,6.29
2017-05-31 22:00:00,,,,,,,81.99,0.27,64.16,0.58,partly-cloudy-day,0.0,0.0,,1018.31,Partly Cloudy,80.36,9.78,54.0,9.17
2017-05-31 23:00:00,,,,,,,82.61,0.27,64.52,0.58,partly-cloudy-day,0.0,0.0,,1017.62,Partly Cloudy,80.91,10.0,55.0,9.21
2017-06-01 00:00:00,,847.73096,0.0,0.0,857.39764,0.0,83.22,0.32,65.0,0.58,partly-cloudy-day,0.0,0.0,,1017.37,Partly Cloudy,81.39,10.0,56.0,11.19
2017-06-01 00:04:54,9.233852,,,,,,,,,,,,,,,,,,,
2017-06-01 00:09:54,9.303759,,,,,,,,,,,,,,,,,,,
2017-06-01 00:14:54,9.312366,,,,,,,,,,,,,,,,,,,
2017-06-01 00:15:00,,653.5434,0.0,0.0,668.5434,0.0,,,,,,,,,,,,,,
2017-06-01 00:19:53,9.305192,,,,,,,,,,,,,,,,,,,
